DocIndex,lda_topic,lda_topic_prob,lda_topic_name
425,34,0.7826023101806641,Learning Machine Outputs
426,34,0.9473538994789124,Learning Machine Outputs
427,34,0.4819263815879822,Learning Machine Outputs
428,34,0.6783210635185242,Learning Machine Outputs
429,34,0.3521899878978729,Learning Machine Outputs
430,34,0.6474515795707703,Learning Machine Outputs
431,34,0.49344509840011597,Learning Machine Outputs
432,34,0.8822401762008667,Learning Machine Outputs
433,34,0.5561308264732361,Learning Machine Outputs
434,34,0.31532034277915955,Learning Machine Outputs
435,34,0.6049057245254517,Learning Machine Outputs
436,34,0.8340904116630554,Learning Machine Outputs
437,34,0.7757989764213562,Learning Machine Outputs
438,34,0.38857588171958923,Learning Machine Outputs
439,34,0.3918767273426056,Learning Machine Outputs
440,34,0.5357794761657715,Learning Machine Outputs
441,34,0.6015846729278564,Learning Machine Outputs
442,34,0.9039308428764343,Learning Machine Outputs
443,34,0.601818323135376,Learning Machine Outputs
444,34,0.535805881023407,Learning Machine Outputs
445,34,0.8369457125663757,Learning Machine Outputs
446,34,0.6288720369338989,Learning Machine Outputs
447,34,0.5441468954086304,Learning Machine Outputs
448,26,0.49503007531166077,Events Similar Communications
449,34,0.4992327392101288,Learning Machine Outputs
450,34,0.8454271554946899,Learning Machine Outputs
451,34,0.3723723292350769,Learning Machine Outputs
452,34,0.23804135620594025,Learning Machine Outputs
453,34,0.8077855110168457,Learning Machine Outputs
454,34,0.913612425327301,Learning Machine Outputs
455,34,0.8079960942268372,Learning Machine Outputs
456,34,0.36733782291412354,Learning Machine Outputs
457,34,0.954537034034729,Learning Machine Outputs
458,34,0.902603030204773,Learning Machine Outputs
459,34,0.8122661709785461,Learning Machine Outputs
460,34,0.18348920345306396,Learning Machine Outputs
461,34,0.5925459265708923,Learning Machine Outputs
462,34,0.5789308547973633,Learning Machine Outputs
463,31,0.5301893353462219,Analytics Department Operations
464,34,0.8945180177688599,Learning Machine Outputs
465,34,0.8947407007217407,Learning Machine Outputs
466,34,0.9411980509757996,Learning Machine Outputs
467,34,0.8999322056770325,Learning Machine Outputs
468,34,0.7865817546844482,Learning Machine Outputs
469,34,0.9545401930809021,Learning Machine Outputs
470,34,0.738577127456665,Learning Machine Outputs
471,34,0.9642680287361145,Learning Machine Outputs
472,34,0.37932339310646057,Learning Machine Outputs
473,25,0.6358675360679626,Plan Compliance Management
474,34,0.7886661291122437,Learning Machine Outputs
475,25,0.6358652710914612,Plan Compliance Management
476,34,0.5133312344551086,Learning Machine Outputs
477,34,0.3677191734313965,Learning Machine Outputs
478,34,0.5780698657035828,Learning Machine Outputs
479,34,0.6839308142662048,Learning Machine Outputs
480,23,0.2843480110168457,Search User Document
481,34,0.6701226234436035,Learning Machine Outputs
482,34,0.4568174183368683,Learning Machine Outputs
483,34,0.8105754256248474,Learning Machine Outputs
484,35,0.28329920768737793,Advanced Match Platform
485,34,0.40618783235549927,Learning Machine Outputs
486,12,0.49086812138557434,Training Access Environment
487,34,0.8895938396453857,Learning Machine Outputs
488,34,0.7439172267913818,Learning Machine Outputs
